anonymized_player_id,rank_stratum,primary_role
P298,EMERALD,JUNGLE
P299,EMERALD,UTILITY
P300,EMERALD,JUNGLE
P301,DIAMOND,JUNGLE
P302,DIAMOND,UTILITY
P303,DIAMOND,UTILITY
P304,DIAMOND,UTILITY
P305,DIAMOND,BOTTOM
P306,DIAMOND,MIDDLE
P307,DIAMOND,BOTTOM
P308,DIAMOND,JUNGLE
P309,DIAMOND,TOP
P310,DIAMOND,TOP
P311,DIAMOND,JUNGLE
P312,DIAMOND,TOP
P313,DIAMOND,TOP
P314,DIAMOND,BOTTOM
P315,DIAMOND,UTILITY
P316,DIAMOND,TOP
P317,DIAMOND,JUNGLE
P318,DIAMOND,BOTTOM
P319,DIAMOND,MIDDLE
P320,DIAMOND,UTILITY
P321,DIAMOND,MIDDLE
P322,DIAMOND,TOP
P323,DIAMOND,MIDDLE
P324,DIAMOND,MIDDLE
P325,DIAMOND,TOP
P326,DIAMOND,BOTTOM
P327,DIAMOND,UTILITY
P328,DIAMOND,JUNGLE
P329,DIAMOND,JUNGLE
P330,DIAMOND,MIDDLE
P331,DIAMOND,UTILITY
P332,DIAMOND,BOTTOM
P333,DIAMOND,BOTTOM
P334,DIAMOND,UTILITY
P335,DIAMOND,MIDDLE
P336,DIAMOND,BOTTOM
P337,DIAMOND,MIDDLE
P338,DIAMOND,UTILITY
P339,DIAMOND,MIDDLE
P340,DIAMOND,MIDDLE
P341,DIAMOND,BOTTOM
P342,DIAMOND,JUNGLE
P343,DIAMOND,BOTTOM
P344,DIAMOND,UTILITY
P345,DIAMOND,BOTTOM
P346,DIAMOND,MIDDLE
P347,DIAMOND,UTILITY
P348,DIAMOND,BOTTOM
P349,DIAMOND,TOP
P350,DIAMOND,TOP
P351,DIAMOND,MIDDLE
P352,DIAMOND,UTILITY
P353,DIAMOND,JUNGLE
P354,DIAMOND,MIDDLE
P355,DIAMOND,TOP
P356,DIAMOND,MIDDLE
P357,DIAMOND,TOP
P358,DIAMOND,JUNGLE
P359,DIAMOND,UTILITY
P360,DIAMOND,MIDDLE
P361,DIAMOND,MIDDLE
P362,DIAMOND,MIDDLE
P363,DIAMOND,BOTTOM
P364,DIAMOND,JUNGLE
P365,DIAMOND,TOP
P366,DIAMOND,MIDDLE
P367,DIAMOND,MIDDLE
P368,DIAMOND,MIDDLE
P369,DIAMOND,UTILITY
P370,DIAMOND,JUNGLE
P371,DIAMOND,BOTTOM
P372,DIAMOND,BOTTOM
P373,DIAMOND,TOP
P374,DIAMOND,UTILITY
P375,DIAMOND,UTILITY
P376,DIAMOND,BOTTOM
P377,DIAMOND,JUNGLE
P378,DIAMOND,JUNGLE
P379,DIAMOND,UTILITY
P380,DIAMOND,TOP
P381,DIAMOND,JUNGLE
P382,DIAMOND,TOP
P383,DIAMOND,BOTTOM
P384,DIAMOND,BOTTOM
P385,DIAMOND,BOTTOM
P386,DIAMOND,TOP
P387,DIAMOND,JUNGLE
P388,DIAMOND,UTILITY
P389,DIAMOND,TOP
P390,DIAMOND,TOP
P391,DIAMOND,UTILITY
P392,DIAMOND,UTILITY
P393,DIAMOND,TOP
P394,DIAMOND,TOP
P395,DIAMOND,BOTTOM
P396,DIAMOND,JUNGLE
P397,DIAMOND,JUNGLE
P398,DIAMOND,JUNGLE
P399,DIAMOND,JUNGLE
P400,DIAMOND,JUNGLE
P401,MASTER+,UTILITY
P402,MASTER+,UTILITY
P403,MASTER+,JUNGLE
P404,MASTER+,TOP
P405,MASTER+,UTILITY
P406,MASTER+,JUNGLE
P407,MASTER+,BOTTOM
P408,MASTER+,UTILITY
P409,MASTER+,BOTTOM
P410,MASTER+,UTILITY
P411,MASTER+,UTILITY
P412,MASTER+,TOP
P413,MASTER+,MIDDLE
P414,MASTER+,UTILITY
P415,MASTER+,JUNGLE
P416,MASTER+,MIDDLE
P417,MASTER+,JUNGLE
P418,MASTER+,MIDDLE
P419,MASTER+,BOTTOM
P420,MASTER+,BOTTOM
P421,MASTER+,MIDDLE
P422,MASTER+,MIDDLE
P423,MASTER+,UTILITY
P424,MASTER+,JUNGLE
P425,MASTER+,JUNGLE
P426,MASTER+,MIDDLE
P427,MASTER+,BOTTOM
P428,MASTER+,MIDDLE
P429,MASTER+,BOTTOM
P430,MASTER+,MIDDLE
P431,MASTER+,UTILITY
P432,MASTER+,UTILITY
P433,MASTER+,BOTTOM
P434,MASTER+,UTILITY
P435,MASTER+,UTILITY
P436,MASTER+,BOTTOM
P437,MASTER+,UTILITY
P438,MASTER+,MIDDLE
